artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Akina Nakamori,AKINA BOX 1982-1991 (2012 Remaster),十戒 (1984) - 2012 Remaster,20,216346,False,0.676,0.753,0,-4.715,1,0.0365,0.0525,2.88e-05,0.0682,0.493,148.968,4,j-idol
Bertocucci Feranzano,Happy Hardcore Top 100,XTC Love,17,305998,False,0.63,0.852,10,-9.686,0,0.108,0.0016,0.82,0.653,0.302,177.966,4,happy
Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,Divenire (Deluxe Edition),Primavera,62,442400,False,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,3,classical
Chuck Berry,Jingle Bell Rock 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
F.O.O.L;Power Glove,Mercenary,Mercenary,56,219818,True,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4,club
The Black Keys,OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,0,189356,False,0.597,0.702,11,-4.767,1,0.0445,0.0197,0.01,0.125,0.645,83.507,4,blues
Henrique & Juliano,Novas Histórias (Ao Vivo),Contar Pra Quê - Ao Vivo,50,194815,False,0.611,0.626,0,-6.175,1,0.0529,0.644,0.0,0.449,0.468,153.942,4,sertanejo
Linn da Quebrada;Podeserdesligado;Ventura Profana,PAJUBÁ REMIX I,Ventura Profana & Podeserdesligado * Bixa Travesty - Poder & Glória (Remix),23,212727,False,0.711,0.861,1,-4.904,1,0.13,0.0747,0.000763,0.123,0.451,131.798,4,club
Sex Prisoner,Tannhauser Gate,Half Smile,13,112568,False,0.199,0.961,7,-5.12,1,0.218,1.67e-05,0.527,0.563,0.226,168.246,4,grindcore
Morgan Evans;Kelsea Ballerini,Laidback Country,Dance with Me,0,199501,False,0.611,0.519,1,-9.854,1,0.035,0.481,4.82e-06,0.107,0.462,147.979,4,country
Palavra Cantada,Cantigas de Roda,Caranguejo / O Cravo e a Rosa,41,135640,False,0.765,0.345,9,-8.858,1,0.0363,0.323,7.83e-06,0.321,0.741,144.039,4,mpb
Fernandinho,Santo (ao Vivo),Eu Vou Amanhecer - Ao Vivo,43,348692,False,0.543,0.739,11,-7.16,0,0.0393,0.00531,1.65e-06,0.104,0.293,67.512,4,gospel
Tristam,Till It's Over,Till It's Over,55,270545,False,0.61,0.836,7,-6.428,0,0.089,0.123,0.0,0.164,0.329,110.032,4,dubstep
Mipso,Mipso,Caroline,52,215040,False,0.622,0.357,9,-15.463,1,0.0496,0.936,0.315,0.113,0.39,97.077,4,bluegrass
Bush,Post-Millennial Noise,Headful of Ghosts,0,261293,False,0.432,0.706,5,-5.061,1,0.0426,0.00108,0.0,0.378,0.29,136.981,4,metal
Inner City,80s Party Hits,Good Life,5,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno
Mushroomhead,Savior Sorrow,The Need,22,296026,False,0.516,0.872,8,-5.342,1,0.0477,0.0147,7.6e-06,0.105,0.252,117.947,4,industrial
Kenny Rogers;Sheena Easton,We've Got Tonight,We've Got Tonight,66,234560,False,0.543,0.227,8,-11.247,1,0.0298,0.767,4.29e-05,0.103,0.292,123.548,4,country
Winds of Plague,Decimate the Weak,Legions,21,229453,False,0.225,0.929,2,-4.92,0,0.172,7.1e-05,0.945,0.148,0.0574,117.079,4,black-metal
Matheus & Kauan,Expectativa x Realidade,Seu Beijo Fez Isso,47,200725,False,0.477,0.77,0,-6.711,1,0.0524,0.275,0.0,0.184,0.77,181.924,4,sertanejo
DJ Snake;Travis Scott;Migos;GASHI,Encore,Oh Me Oh My,48,256320,True,0.669,0.652,0,-4.245,1,0.0603,0.0314,0.0,0.158,0.0395,119.972,4,electronic
Tim McGraw,Rock Christmas 2022 - The Very Best Of,Christmas All Over The World,0,166168,False,0.565,0.782,11,-5.098,0,0.0305,0.0341,0.0,0.0782,0.798,126.904,4,country
Neon Trees,Habits (Spotify),Animal,66,212306,False,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,4,alt-rock
Dumb Punts,Coupla Couplas,Pissed On,25,111041,False,0.268,0.909,9,-4.284,1,0.149,0.000767,0.755,0.357,0.713,156.24,4,garage
Thirteen,Kosong,Kosong,34,210201,False,0.498,0.996,2,-0.866,1,0.127,0.000955,3.61e-05,0.319,0.184,74.988,4,hardcore
Maya Kristalinskaya,Знакомая песенка. Дискотека СССР,"Еду я - Из к/ф ""Лушка""",5,140773,False,0.522,0.321,5,-11.632,0,0.138,0.936,0.0,0.0937,0.718,167.36,4,romance
Promoting Sounds;Powfu;Ouse,Dead Eyes,Dead Eyes,66,219428,True,0.719,0.651,7,-5.872,1,0.0274,0.127,0.0,0.0762,0.289,104.956,4,sad
Mary J. Blige;The Clark Sisters,Un tecito y a mimir,The First Noel,0,264186,False,0.23,0.438,1,-7.861,1,0.038,0.588,0.0,0.285,0.338,174.373,4,soul
Bill Haley & His Comets,Biggest Hits,Rock Around The Clock,53,137000,False,0.609,0.526,9,-13.106,1,0.43,0.139,0.0,0.0946,0.93,173.179,4,rockabilly
Stevie Wonder,Xmas Classics 2022,What Christmas Means To Me,0,147800,False,0.524,0.614,0,-8.05,1,0.0363,0.202,0.0,0.0802,0.751,82.229,4,indie
FKA twigs,I'm Blue - Hits of 2022,killer,0,176876,False,0.401,0.619,0,-7.035,0,0.21,0.168,0.0,0.272,0.757,78.763,4,alternative
Laa Lee;TripleDose Production,Bruk Stone Riddim,Gal Yuh Hot,20,181603,True,0.825,0.766,6,-4.741,1,0.181,0.2,0.0,0.101,0.896,107.986,4,j-dance
Loyla Lo,Sun Study,Hammer,39,103200,False,0.79,0.218,11,-14.49,1,0.389,0.401,0.781,0.0965,0.496,75.093,4,study
George Ezra,Green Green Grass,Green Green Grass,77,167613,False,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,4,songwriter
Matt Large,A Wasteland Fairytale,A Prayer for George,28,179750,False,0.566,0.622,11,-6.906,1,0.064,0.0175,0.917,0.0999,0.244,175.882,4,study
Nessa Barrett,Your Perfect Soundtrack,die first,0,177108,False,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,4,electro
Marshmello;Khalid,Numb,Numb,87,155588,False,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4,edm
B.B. King,To Know You Is To Love You,To Know You Is To Love You,54,515000,False,0.872,0.384,0,-16.204,1,0.0388,0.418,0.317,0.0687,0.938,102.597,4,blues
Calvin Harris,18 Months,Feel So Close - Radio Edit,80,206413,False,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4,electro
Jon Schmidt,Bonus Tracks,Jessica's Theme (from The Man from Snowy River),21,307720,False,0.454,0.0368,2,-20.558,1,0.0558,0.984,0.879,0.0805,0.175,130.999,4,new-age
Floyd Cramer,Last Date,Mumble Jumble,9,133133,False,0.717,0.764,7,-10.067,1,0.068,0.258,0.89,0.0735,0.962,124.818,4,honky-tonk
Sujatha;Shreekumar Vakkiyil,Mulla (Original Motion Picture Soundtrack),Kanalukalaadiya,25,274311,False,0.722,0.7,5,-7.059,1,0.032,0.0787,0.00025,0.577,0.718,102.973,4,malay
Emancipator,Safe in the Steep Cliffs,Nevergreen,49,215946,False,0.511,0.42,3,-9.794,0,0.0286,0.375,0.84,0.152,0.239,170.873,4,trip-hop
Jessy Bulbo,Taras Bulba,Mi Muñequita Sintética,37,198786,True,0.62,0.849,11,-3.563,0,0.0336,0.154,3.81e-05,0.365,0.78,150.083,4,garage
Jebroer;Outsiders,Kogels,Kogels,21,201901,True,0.525,0.902,1,-4.322,1,0.243,0.169,5.41e-06,0.358,0.178,95.013,4,hardstyle
Yosi Horikawa,Vapor,Starlings,10,293624,False,0.446,0.955,2,-12.47,1,0.182,0.00392,0.722,0.761,0.289,163.976,4,idm
Brings,Karneval Klassiker,Sünderlein,0,240920,False,0.57,0.904,0,-2.876,1,0.0601,0.00284,0.0,0.253,0.478,128.985,4,party
João Paulo & Daniel,Volume 7,Não precisa perdão,43,213986,False,0.714,0.499,0,-7.554,1,0.0282,0.517,0.0,0.141,0.544,112.216,4,sertanejo
Mabel,Helloween Party,Bad Behaviour,0,205880,False,0.797,0.812,0,-4.334,1,0.0414,0.00451,2.19e-06,0.0787,0.421,106.998,4,edm
Bynmc;MegaR;ZerØ,Adán vs Zeus Rap. El creador y su creación,Adán vs Zeus Rap. El creador y su creación,35,384835,False,0.509,0.843,1,-6.734,1,0.429,0.56,0.0,0.168,0.593,79.317,1,anime
Static-X,Rock and Rap Workout,Skinnyman,21,220200,False,0.584,0.961,1,-5.707,1,0.0475,0.00118,0.387,0.137,0.792,91.391,4,industrial
Norah Jones,Holiday Tunes 2022,Christmas Calling (Jolly Jones),0,200461,False,0.43,0.543,8,-6.296,1,0.0367,0.463,0.000523,0.0928,0.354,143.912,4,j-pop
Avernal,El Sangriento,Hoy Podes Pudrirte,22,160106,False,0.518,0.992,6,-3.794,1,0.0565,0.00112,0.000546,0.133,0.381,90.018,4,death-metal
O Rappa,Acústico MTV,Pescador de ilusões - Ao vivo acústico,50,306266,False,0.385,0.806,1,-8.967,1,0.0398,0.237,0.00566,0.933,0.693,106.628,4,r-n-b
Steve Miller Band,Helloween Party,Abracadabra - Remastered 2017,1,307909,False,0.753,0.788,9,-7.271,0,0.0383,0.126,1.07e-06,0.141,0.964,127.521,4,singer-songwriter
Popcaan;Drake;PARTYNEXTDOOR,FIXTAPE,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),64,259651,False,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,4,dancehall
STU48,独り言で語るくらいなら<Type B>,僕はこの海を眺めてる,18,283960,False,0.543,0.824,4,-3.403,0,0.0363,0.429,0.0,0.811,0.273,117.995,4,j-idol
Arunraja Kamaraj,Theri (Original Motion Picture Soundtrack),Dub Theri Step,48,119690,False,0.602,0.734,7,-6.918,1,0.0773,0.00202,0.00448,0.325,0.124,160.23,4,indie
Porter Robinson,Worlds,Fresh Static Snow,45,358760,False,0.636,0.499,9,-5.775,1,0.041,0.00744,0.0169,0.112,0.234,90.996,4,dubstep
Sorriso Maroto,É Diferente (Ao Vivo),A Primeira Namorada - Ao Vivo,59,219640,False,0.635,0.76,7,-8.229,1,0.0326,0.611,0.0,0.802,0.652,140.007,4,pagode
LOONA,[&],PTT (Paint The Town),69,201120,False,0.781,0.814,8,-2.437,1,0.1,0.0735,1.92e-05,0.0565,0.546,124.028,4,k-pop
lofi.samurai,dearest,dearest,56,96160,False,0.951,0.362,0,-9.931,1,0.182,0.492,0.021,0.0917,0.756,100.023,4,sad
CamaSutra,Tego Chcesz,Będę Tylko Twoja,32,188174,False,0.735,0.916,11,-3.53,1,0.0511,0.0476,2.4e-06,0.397,0.914,137.008,4,disco
KAROL G,Perreo Tenebroso Vol. 4,Punto G,0,183160,False,0.791,0.746,6,-4.716,1,0.0907,0.00938,0.000125,0.125,0.903,165.994,4,reggae
Lauv;LANY,~how i'm feeling~,Mean It,71,232853,False,0.746,0.45,7,-8.543,1,0.0873,0.0407,0.0,0.172,0.336,95.998,4,electro
K-391;Alan Walker;Tungevaag;Mangoo,Play,Play,70,167976,False,0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944,4,dance
Robert Palmer,80's,Simply Irresistible,0,254293,False,0.646,0.934,9,-6.955,1,0.0531,0.129,1.03e-05,0.0443,0.698,142.616,4,r-n-b
Grupo Clareou,A Carne É Fraca (Ao Vivo),A Carne É Fraca - Ao Vivo,44,222046,False,0.584,0.819,0,-7.528,1,0.0521,0.435,0.0,0.733,0.905,168.204,4,pagode
Ricky Montgomery,Montgomery Ricky,Mr Loverman,79,216880,False,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,3,indie
arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,Resonance,9,54000,False,0.49,0.00201,9,-30.975,0,0.0864,0.663,0.00355,0.0946,0.181,96.779,1,idm
dj Shawny,Little Einsteins Tangin Song,Little Einsteins Tangin Song,41,66913,False,0.711,0.728,1,-3.977,0,0.335,0.00631,0.00109,0.0887,0.461,164.871,4,club
Mike NRG;D-Fence,Lost in Dreams (Q-BASE 2017 Warehouse OST) [D-Fence Remix],Lost in Dreams (Q-BASE 2017 Warehouse Soundtrack) - D-Fence Remix - Edit,24,180020,False,0.474,0.979,11,-4.261,0,0.155,0.14,0.000204,0.476,0.0989,174.982,4,hardstyle
Gyllene Tider,Finn Fem Fel,Tuffa tider (För en drömmare),37,188240,False,0.598,0.704,2,-7.133,1,0.0443,0.349,1.37e-05,0.219,0.807,164.976,4,swedish
Clara Mae,I'm Not Her,I'm Not Her,60,194204,False,0.477,0.51,2,-8.94,1,0.275,0.228,0.0,0.0755,0.477,111.893,5,electro
Soraya,Halloween 2022 Pop Vol. 5,De Repente,0,245933,False,0.857,0.58,8,-6.42,1,0.0298,0.794,0.0132,0.339,0.829,118.123,4,spanish
Ezginin Günlügü,İlk Aşk,Zerdaliler,45,260480,False,0.407,0.292,2,-10.662,0,0.0497,0.94,0.00121,0.11,0.293,86.411,1,j-pop
Lynyrd Skynyrd,Country Car Hits,Simple Life,1,197106,False,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,blues
Irmã Kelly Patrícia;Padre Marcelo Rossi;Padre Fábio De Melo;Padre Reginaldo Manzotti;Padre Omar;Padre Juarez de Castro;Padre Gleuson Gomes,No Coração da Jornada,Tantum Ergo,43,314746,False,0.272,0.161,4,-13.479,1,0.0314,0.884,2.07e-05,0.12,0.221,102.972,5,brazil
Clinton Kane,MAYBE SOMEDAY IT'LL ALL BE OK,14,62,140800,False,0.608,0.634,2,-5.65,1,0.212,0.722,0.0,0.12,0.701,104.51,4,songwriter
Hans Zimmer,Hans Zimmer: Epic Scores,Hunger,13,395720,False,0.31,0.329,2,-15.955,1,0.049,0.146,0.889,0.111,0.0352,111.923,4,german
Kevin Martes 13,Inmortal,Jarabe - Remastered,55,142814,False,0.666,0.828,10,-5.896,0,0.0564,0.0463,0.0,0.354,0.69,97.992,4,latin
John Rutter;Bryn Terfel;Côrdydd;Sioned James;Welsh National Opera Orchestra;Tecwyn Evans,Classical Christmas,Shepherd's Pipe Carol (Adapted by Chris Hazell),0,177794,False,0.443,0.208,5,-19.566,1,0.0399,0.969,0.332,0.0629,0.636,129.926,3,british
Zach Diamond,Boomerang,Boomerang,53,160520,False,0.831,0.617,7,-8.751,0,0.0613,0.169,0.0,0.126,0.712,144.086,4,sad
Matt Large,Stances,Yes Yes Y'all,14,144108,False,0.701,0.495,7,-7.106,1,0.442,0.00787,0.29,0.0796,0.81,191.993,4,study
Carolee Carmello;Robert Lenzi;Andrew Keenan-Bolger;Tuck Everlasting Original Broadway Company,Tuck Everlasting (Original Broadway Cast Recording),The Wheel - Finale,24,77293,False,0.326,0.171,5,-11.386,1,0.049,0.813,4.44e-06,0.109,0.32,64.976,4,show-tunes
Seven Lions;Blastoyz;Fiora,After Dark (feat. Fiora),After Dark (feat. Fiora),48,229859,False,0.558,0.976,1,-3.906,0,0.125,0.00316,0.38,0.166,0.301,142.003,4,dub
Don Henley,80s Bangers Vol. 1,The Boys Of Summer,2,288333,False,0.516,0.775,6,-6.409,1,0.0412,0.396,0.00129,0.21,0.858,177.401,4,singer-songwriter
The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),Howlin' for You,66,191956,False,0.725,0.747,11,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,4,alt-rock
Kyson,Lucky Notes,Movement Schedule,0,130909,False,0.31,0.229,11,-14.422,1,0.0343,0.982,0.689,0.112,0.2,121.178,4,idm
Alexandre Desplat,The Lost King (Original Motion Picture Soundtrack),City’s Archives,19,205453,False,0.195,0.228,5,-14.972,0,0.0371,0.939,0.904,0.0841,0.0725,93.764,4,french
Angelov,Cabora EP,Retrida,46,499208,False,0.797,0.832,1,-10.4,1,0.0476,0.00576,0.919,0.101,0.339,123.001,4,techno
Yiruma,Blind Film,Waltz in C Minor (Only for Piano),50,228293,False,0.377,0.0725,0,-22.218,0,0.0584,0.993,0.912,0.174,0.0472,67.547,3,piano
Boris Brejcha;Ginger,Space Diver,Happinezz,41,472320,False,0.787,0.496,7,-12.325,1,0.0611,0.00502,0.865,0.0975,0.169,125.018,4,minimal-techno
Jesse Rice,The Pirate Sessions,Haze of the Rum,27,192306,False,0.534,0.76,8,-6.103,1,0.0357,0.0996,0.0,0.306,0.641,166.066,4,guitar
Calvin Harris,18 Months,Feel So Close - Radio Edit,80,206413,False,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4,house
Scooter,20 Years of Hardcore (Remastered),The Only One,28,211785,False,0.505,0.973,9,-4.703,0,0.0919,0.00136,0.000114,0.185,0.293,134.94,4,techno
Felix Werner,Lighthouses (Ambient Version),Lighthouses - Ambient Version,59,183996,False,0.208,0.0581,2,-27.906,1,0.0502,0.842,0.624,0.109,0.0394,68.942,4,sleep
Vou Zuar;Ferrugem,Sinto Sua Falta / Insegurança / Eu Nunca Amei Assim,Sinto Sua Falta / Insegurança / Eu Nunca Amei Assim,44,357868,False,0.47,0.727,5,-5.442,0,0.041,0.677,0.0,0.284,0.694,82.825,4,pagode
Ryan Sickler,Above Ground Cool,Public Restroom Attendant,20,154788,False,0.491,0.887,9,-7.859,0,0.862,0.774,0.0,0.699,0.421,131.207,5,comedy
Big D and the Kids Table,How It Goes,Little Bitch,35,137773,False,0.444,0.953,0,-1.644,1,0.199,0.023,0.0,0.144,0.609,189.79,4,ska
Los Teen Tops,La Gran Coleccion Del 60 Aniversario CBS - Los Teen Tops,Rock Nena Linda (Rock Pretty Baby),31,107533,False,0.525,0.641,4,-6.825,1,0.0793,0.572,0.0,0.253,0.919,95.273,4,rockabilly
Thiaguinho,Meu Nome É Thiago André (Ao Vivo),A Lenda - Ao Vivo,46,217653,False,0.423,0.521,4,-8.526,1,0.0293,0.623,2.27e-06,0.431,0.324,156.032,4,pagode
Ed Sheeran;Throttle,10's Dance Classics,Castle On the Hill - Throttle Remix,0,220879,False,0.586,0.86,2,-4.023,1,0.0539,0.0412,0.0,0.372,0.203,138.03,4,pop
Nelly Omar,Nelly Omar - Desde el alma,Desde el alma,31,156920,False,0.534,0.456,4,-6.494,0,0.0595,0.928,4.73e-05,0.155,0.772,89.14,3,tango
Prateek Kuhad,In Tokens & Charms,Held You Tight,33,205918,False,0.675,0.54,1,-11.309,1,0.0503,0.00697,0.00529,0.231,0.562,119.997,4,singer-songwriter
Seedhe Maut;Sez on the Beat,Nayaab,Teen Dost,44,168007,True,0.921,0.552,1,-9.075,0,0.348,0.283,0.0,0.11,0.546,128.074,4,indian
Pelle Emil Hebsgaard;Aya Ingrid Alber,Coco (Originalt Dansk Soundtrack),Forglem mig ej (vuggevise),26,69813,False,0.529,0.075,0,-19.979,1,0.0543,0.895,1.49e-06,0.115,0.236,66.354,4,disney
Paramore,Brand New Eyes,The Only Exception,74,267653,False,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,3,emo
The Smith Street Band,More Scared Of You Than You Are Of Me,25,27,248146,True,0.191,0.928,1,-3.051,1,0.0736,0.018,1.07e-05,0.16,0.601,156.139,4,garage
Ernest Tubb;Loretta Lynn,Singin' Again,Let's Stop Right Where We Are,14,156333,False,0.667,0.433,2,-8.156,1,0.0368,0.711,3.4e-06,0.154,0.629,123.454,4,honky-tonk
Mushroomhead,A Wonderful Life,Another Ghost,23,222826,False,0.654,0.934,1,-4.388,1,0.0389,0.00134,0.00433,0.0872,0.231,109.97,4,industrial
MYRNE;JPB;Yung Fusion,NCS: The Best of 2016,Feels Right,27,199187,False,0.447,0.948,9,-2.503,0,0.307,0.053,8.68e-05,0.882,0.677,89.928,4,dubstep
Red Hot Chili Peppers,Alternative Rock Mixtape,By the Way,2,215666,False,0.441,0.986,0,-2.466,1,0.116,0.038,0.000781,0.0998,0.184,123.974,4,rock
Rob Cantor,Disney Junior Music: Lullabies Vol. 2,A Great Ballerina,32,82550,False,0.573,0.315,9,-13.191,1,0.0415,0.888,0.879,0.122,0.362,163.972,3,disney
Александр Цфасман,В парке Чаир,Неудачное свидание,0,190589,False,0.544,0.686,10,-8.084,1,0.159,0.903,0.0126,0.204,0.872,181.066,4,romance
Roni Size;Reprazent,New Forms (20th Anniversary Edition),Heroes,15,394933,False,0.586,0.821,4,-5.52,0,0.0823,0.101,0.00583,0.699,0.638,160.054,4,breakbeat
PassCode,Ray,UNTILL THE DAWN,21,207000,False,0.522,0.988,5,-2.122,0,0.105,0.000467,0.00525,0.52,0.481,104.99,4,j-idol
ODESZA,A Moment Apart,Late Night,59,228154,False,0.612,0.628,2,-6.754,1,0.0752,0.0358,0.00898,0.193,0.434,125.043,4,chill
Soda Stereo,Dynamo (Remastered),Ameba - Remasterizado 2007,41,256665,False,0.438,0.778,7,-7.271,0,0.0355,2.1e-05,0.00321,0.411,0.531,101.961,4,punk
Hinder,Extreme Behavior,Lips Of An Angel,73,261853,False,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,4,alternative
Blutengel,Seelenschmerz,Children Of The Night,24,295533,False,0.545,0.801,0,-2.898,1,0.0364,1.98e-05,0.053,0.0725,0.0775,118.989,4,goth
Bucovina,Duh,Vuiet De Negru Izvor,18,138200,False,0.372,0.796,7,-5.632,1,0.0299,2.13e-06,0.732,0.0316,0.152,178.07,4,black-metal
Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,Brahms' Lullaby,55,92892,False,0.448,0.0883,0,-17.546,1,0.0836,0.987,0.901,0.11,0.525,176.525,4,sleep
Sergei Lemeshev;Лариса Авдеева;Boris Khaikin;Оркестр Большого театра,"Tchaikovsky: Eugene Onegin, Op. 24","Eugene Onegin, Op. 24, Act I Scene 1: No. 6b, Lensky's Arioso ""Ya lyublyu Vas. Ya lyublyu Vas, Olga""",4,190351,False,0.248,0.196,4,-15.16,1,0.066,0.96,2.25e-06,0.14,0.159,178.019,5,romance
Sonia Rivas,Sonia Rivas,No Eres Mi Guardian,33,167560,False,0.54,0.468,4,-9.338,1,0.0283,0.812,0.0,0.0823,0.447,142.088,4,rock-n-roll
Cameron's Bedtime Classics,Dreamy Piano,Resting,20,239013,False,0.738,0.0832,0,-16.842,1,0.0978,0.993,0.913,0.108,0.636,76.008,3,disney
Don Omar,Perreo en Halloween,Salió El Sol,1,317280,False,0.886,0.708,4,-5.915,0,0.0911,0.107,0.0114,0.044,0.965,109.976,4,latino
RDN;Vitinho;Caju Pra Baixo,"RDN e Amigos 2, Bloco 1",E Agora?,39,93617,False,0.541,0.67,7,-9.101,0,0.0323,0.41,0.0,0.647,0.923,163.914,4,samba
Winona Oak,Mellow Adult Pop,Piano in the Sky,0,190253,False,0.501,0.309,7,-10.192,0,0.0398,0.864,1.52e-06,0.102,0.0813,91.885,4,swedish
The Archies,Everything's Archie,Sugar Sugar,69,167213,False,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,4,r-n-b
PIÑA PINK,Rain Relaxation,Rain Relaxation,41,180197,False,0.72,0.422,3,-14.467,1,0.0487,0.95,0.807,0.0751,0.0392,151.982,4,study
Jacky Cheung;Anita Mui,他在那裡,"相愛很難 - 電影""男人四十""歌曲",52,223253,False,0.495,0.559,0,-8.888,1,0.047,0.613,0.0,0.141,0.322,134.508,4,cantopop
Jota Quest,Guerra e Paz,Guerra e Paz,42,185815,False,0.741,0.626,11,-8.036,0,0.0332,0.0882,0.000192,0.11,0.827,93.995,4,r-n-b
Faron Young,Hello Walls,Hello Walls,15,143400,False,0.599,0.357,0,-9.363,1,0.0324,0.752,0.0,0.106,0.687,101.606,4,honky-tonk
Håkan Hellström,Du gamla du fria,I sprickorna kommer ljuset in,37,260672,False,0.425,0.875,6,-6.996,0,0.0491,0.0148,0.000269,0.147,0.381,132.033,4,goth
NTO;Rodriguez Jr.;Tricky,Loving You Like Always (Rodriguez Jr. Remix),Loving You Like Always - Rodriguez Jr. Remix,43,203882,False,0.535,0.82,7,-9.356,1,0.0325,1.28e-05,0.919,0.116,0.255,114.973,4,minimal-techno
Wig Wam,Non Stop Rock'n Roll,Do Ya Wanna Taste It,63,176973,False,0.559,0.793,2,-3.536,0,0.028,0.0191,0.0,0.394,0.69,92.034,4,metal
Patty Shukla,Sing and Play,S.T.O.P.,35,169826,False,0.805,0.739,0,-4.108,1,0.145,0.232,0.000195,0.0702,0.776,155.065,5,kids
Riff,Que Sea Rock,En un Harem de Agadir,21,147720,False,0.475,0.961,7,-3.839,1,0.109,3.13e-05,0.00229,0.144,0.359,97.204,4,heavy-metal
Ritviz,Mimmi,Chandamama,51,166958,False,0.661,0.374,9,-7.561,1,0.0605,0.0171,0.0,0.0938,0.349,92.011,3,indie
Arne Qvick,Gamla fina svensktoppar,Rosen,37,188026,False,0.614,0.433,2,-10.013,1,0.0332,0.752,0.0,0.301,0.782,86.76,4,swedish
